Round,Home team,Home score,Away score,Away team,Home bonus,Away bonus
29,LOU Rugby,19,9,Section Paloise,0,0
29,Auch,34,19,Saint-Etienne,0,0
29,Oyonnax Rugby,39,32,Provence Rugby,0,0
29,Narbonne,23,17,Colomiers Rugby,0,0
29,Union Bordeaux-Bègles,50,23,Tarbes,1,0
29,Albi,31,5,US Carcassonnaise,0,0
29,Stade Aurillacois,21,28,Stade Montois Rugby,0,0
29,FC Grenoble Rugby,31,24,US Dax,0,0
30,Saint-Etienne,14,23,LOU Rugby,0,0
30,Auch,29,27,Union Bordeaux-Bègles,0,1
30,Provence Rugby,24,25,Albi,1,0
30,Section Paloise,6,22,FC Grenoble Rugby,0,1
30,Stade Aurillacois,35,21,Tarbes,0,0
30,Stade Montois Rugby,48,24,Oyonnax Rugby,1,0
30,Colomiers Rugby,35,15,US Carcassonnaise,1,0
30,US Dax,60,17,Narbonne,1,0
